id;ref_act;description;date_debut;date_fin;raf;etat;livrable_id
1;alarm black Ergonomi;Investor customized;2023-01-26;2023-01-25;Buckinghamshire Automotive;Planifier;1
2;matrix Marketing ind;Bedfordshire;2023-01-25;2023-01-26;Kids;Planifier;2
3;Switzerland;ROI Seychelles;2023-01-26;2023-01-25;Anguilla Overpass Ball;Termine;3
4;Electronics Borders ;azure Metrics;2023-01-25;2023-01-25;circuit attitude Berkshire;Planifier;4
5;Legacy Avon;Credit encoding;2023-01-26;2023-01-25;experiences;Planifier;5
6;interface SAS;Steel;2023-01-25;2023-01-26;Licensed tangible sensor;Termine;6
7;Gorgeous;Central Global Zimbabwe;2023-01-25;2023-01-26;Salvador software;EnCours;7
8;auxiliary Bedfordshi;implement Keyboard;2023-01-26;2023-01-25;orchestration Health;Planifier;8
9;Directives;Incredible;2023-01-26;2023-01-25;models Global back-end;EnCours;9
10;Games Fantastic Mass;Senior web-readiness;2023-01-25;2023-01-25;maximize Colorado sensor;EnCours;10
