id;ref_projet;type;description;datedebut;datefin;etat;client_id
1;Technician;Externe;Mexico;2023-01-25;2023-01-25;EnCours;1
2;Delaware pixel;Externe;facilitate Managed engineer;2023-01-25;2023-01-25;Planifier;2
3;Pike Investor;Externe;interface;2023-01-26;2023-01-25;Planifier;3
4;Buckinghamshire Opti;Interne;bluetooth tan;2023-01-26;2023-01-25;Termine;4
5;array;Externe;mission-critical Outdoors deposit;2023-01-25;2023-01-26;EnCours;5
6;Electronics;Externe;JBOD;2023-01-26;2023-01-25;Termine;6
7;Hat bypass Creative;Interne;Response multi-state Senior;2023-01-25;2023-01-25;Planifier;7
8;eyeballs Loan Sports;Interne;Fundamental next-generation;2023-01-26;2023-01-25;Planifier;8
9;Cotton Chair;Externe;haptic Alabama;2023-01-26;2023-01-25;Termine;9
10;Lempira;Externe;mint Director deposit;2023-01-26;2023-01-25;Planifier;10
