id;ref_livrable;date_debut;date_fin;description;etat;projet_id
1;Fresh;2023-01-26;2023-01-26;New seamless;EnCours;1
2;Car Regional;2023-01-26;2023-01-25;pink;Planifier;2
3;Steel Togo;2023-01-25;2023-01-25;Pataca;Planifier;3
4;redundant Forward;2023-01-25;2023-01-25;portals e-business Kids;Termine;4
5;COM microchip deposi;2023-01-25;2023-01-26;deposit Account Coordinator;EnCours;5
6;Division Engineer Re;2023-01-25;2023-01-25;Open-architected;Planifier;6
7;Maldives;2023-01-25;2023-01-26;hacking matrix;Termine;7
8;transition;2023-01-25;2023-01-26;Wooden;Planifier;8
9;Tools Plastic Hat;2023-01-25;2023-01-25;leading-edge input;Planifier;9
10;capacitor e-services;2023-01-26;2023-01-25;teal;EnCours;10
